t,user,final_status,edge_id,delay
25,58,edge,2,88.53922395866411
25,14,edge,6,75.08154085378865
25,51,edge,2,62.34059458158724
25,77,edge,14,26.921551248127297
25,29,edge,13,45.694907959553355
25,47,edge,7,34.30464087142613
25,12,edge,16,72.5146790878888
25,25,edge,7,111.83252432412671
25,59,edge,14,94.31731903407245
25,25,edge,9,84.48658624836767
25,7,edge,15,18.706298655883874
26,45,edge,8,23.974706532344374
26,30,edge,4,45.780415723588035
26,57,edge,9,17.478457000719175
26,34,edge,4,178.56384265680472
26,61,edge,13,22.269194108372666
26,73,edge,17,48.85380179924172
26,13,edge,7,119.9973500668668
26,39,edge,8,35.295375784686
26,59,edge,2,104.30285014463975
26,74,edge,13,40.38086047700805
26,53,edge,17,79.51952601266443
26,20,edge,17,33.22866009668781
26,54,edge,7,21.441627021494885
26,23,edge,9,79.32049480630835
26,54,edge,7,52.09538001852559
26,65,edge,0,32.90316256900484
26,65,edge,0,49.30441665203185
26,5,edge,11,109.23889284018578
26,20,edge,11,43.02584960320859
26,8,edge,6,37.77857675090269
26,5,edge,8,81.31366735840595
26,37,edge,2,161.02582281024968
26,11,edge,8,31.263518070972644
26,50,edge,9,43.83473235254293
26,62,edge,0,34.961058398334636
26,26,edge,14,70.9255644396398
26,30,edge,4,15.016095208452473
26,67,edge,3,72.21109085512171
26,72,edge,17,114.7107002811741
26,69,edge,15,27.524255899422037
26,60,edge,11,13.032708272631963
27,64,edge,4,31.23273177131081
27,43,edge,13,46.96002732055483
27,4,edge,2,15.36178048459843
27,62,edge,0,22.600203470524036
27,28,edge,3,221.66936399709348
27,22,edge,17,53.816668205252654
27,58,edge,2,31.01487938038183
27,19,edge,14,20.631130367354842
27,14,edge,9,35.77766040663101
27,43,edge,12,19.934758722292504
27,16,edge,19,47.147030089052755
27,64,edge,15,82.5440341720131
27,46,edge,18,147.42552563226235
27,66,edge,13,55.59581362054398
27,58,edge,14,117.60035808643885
27,18,edge,18,23.111164912090146
27,65,edge,0,67.71124724087153
27,14,edge,6,36.56409586235413
27,34,edge,15,42.88588846077404
27,11,edge,0,65.35113109942543
27,1,edge,13,46.17669094045128
27,59,edge,14,106.50280768143087
27,64,edge,4,30.68698348721541
27,66,edge,13,34.97760233311202
28,43,edge,19,47.8246211371357
28,55,edge,0,48.886896232547564
28,53,edge,9,95.50283997801884
28,37,edge,7,96.12670677140159
28,27,edge,6,114.0794923589356
28,22,edge,17,52.77947830286257
28,60,edge,11,15.86140785130629
28,45,edge,8,23.592886471407823
28,47,edge,7,72.79595216883081
28,24,edge,5,51.10520952010513
28,17,edge,14,18.856393278972657
28,6,edge,13,43.86684192776992
28,30,edge,4,52.90630759449212
28,63,edge,15,94.24953271501866
28,24,edge,7,24.206623659937367
28,64,edge,16,100.7515282446915
28,64,edge,16,90.33897763988496
28,68,edge,17,54.08199652384996
28,47,edge,19,55.75566771734629
28,16,edge,13,57.3176621163014
28,38,edge,1,49.38524231630771
28,38,edge,1,24.983303302796067
28,8,edge,5,50.17358180218336
28,17,edge,8,93.55586307308306
28,36,edge,9,88.29342611414845
28,36,edge,9,169.93137240430818
28,56,edge,9,141.63035477302319
28,37,edge,7,100.25877106244637
28,28,edge,19,45.61051364420161
28,76,edge,8,58.325282047596225
28,27,edge,5,82.35468465816857
28,56,edge,15,74.96224007402093
29,54,edge,7,22.663095472698647
29,41,edge,4,37.14410785088713
